team_id,team_name
BAL1,Baltimore Orioles
BAL1,St. Louis Browns
BOS1,Boston Red Sox
BOS1,Boston Americans
CHI1,Chicago White Sox
CLE1,Cleveland Indians
CLE1,Cleveland Naps
CLE1,Cleveland Broncos
CLE1,Cleveland Bluebirds
DET1,Detroit Tigers
HOU1,Houston Astros
HOU1,Houston Colt .45s
KCR1,Kansas City Royals
LAA1,Los Angeles Angels
LAA1,Los Angeles Angels of Anaheim
LAA1,Anaheim Angels
LAA1,California Angels
MIN1,Minnesota Twins
MIN1,Washington Senators
NYY1,New York Yankees
NYY1,New York Highlanders
OAK1,Oakland Athletics
OAK1,Kansas City A's
OAK1,Kansas City Athletics
OAK1,Philadelphia Athletics
SEA1,Seattle Mariners
TBR1,Tampa Bay Rays
TBR1,Tampa Bay Devil Rays
TEX1,Texas Rangers
TOR1,Toronto Blue Jays
ARI1,Arizona Diamondbacks
ATL1,Atlanta Braves
ATL1,Milwaukee Braves
ATL1,Boston Bees
ATL1,Boston Braves
ATL1,Boston Rustlers
ATL1,Boston Doves
ATL1,Boston Beaneaters
ATL1,Boston Red Caps
CHI2,Chicago Cubs
CHI2,Chicago Orphans
CHI2,Chicago Colts
CHI2,Chicago White Stockings
CIN1,Cincinnati Reds
CIN1,Cincinnati Redlegs
CIN1,Cincinnati Red Stockings
COL1,Colorado Rockies
LAD1,Los Angeles Dodgers
LAD1,Brooklyn Robins
LAD1,Brooklyn Dodgers
LAD1,Brooklyn Superbas
LAD1,Brooklyn Grooms
LAD1,Brooklyn Bridegrooms
LAD1,Brooklyn Grays
LAD1,Brooklyn Atlantics
MIA1,Miami Marlins
MIA1,Florida Marlins
MIL1,Milwaukee Brewers
MIL1,Seattle Pilots
NYM1,New York Mets
PHL1,Philadelphia Phillies
PHL1,Philadelphia Quakers
PIT1,Pittsburgh Pirates
PIT1,Pittsburg Alleghenys
SDP1,San Diego Padres
SFG1,San Francisco Giants
SFG1,New York Giants
SFG1,New York Gothams
STL1,St. Louis Cardinals
STL1,St. Louis Perfectos
WAS1,Washington Nationals
WAS1,Montreal Expos
BAL2,Baltimore Terrapins
BRO1,Brooklyn Tip-Tops
BUF1,Buffalo Blues
NEW1,Newark Peppers
KCP1,Kansas City Packers
PIT2,Pittsburgh Rebels
STL2,St. Louis Terriers
CHI3,Chicago Whales
WAS2,Washington Statesmen
CIN2,Cincinnati Kelly's Killers
CLE2,Cleveland Infants
PIT2,Pittsburgh Burghers
CHI4,Chicago Pirates
BRO2,Brooklyn Ward's Wonders
BRO3,Brooklyn Gladiators
ROC1,Rochester Broncos
TOL1,Toledo Maumees
COL2,Columbus Solons
CLE3,Cleveland Spiders
LOU1,Louisville Colonels
LOU1,Louisville Eclipse
KCC1,Kansas City Cowboys
PHL2,Philadelphia Keystones
WIL1,Wilmington Quicksteps
ALT1,Altoona Mountain Citys
CHI5,Chicago Browns/Pittsburgh Stogies
SPS1,St. Paul Saints
BOS2,Boston Reds
BAL3,Baltimore Monumentals
CIN3,Cincinnati Outlaw Reds
STL3,St. Louis Maroons
STL3,Indianapolis Hoosiers
RIC1,Richmond Virginians
TOL2,Toledo Blue Stockings
COL3,Columbus Buckeyes
NYM2,New York Metropolitans
DET2,Detroit Wolverines
WOR1,Worcester Worcesters
TRO1,Troy Trojans
SYR1,Syracuse Stars
CLE4,Cleveland Blues
BUF2,Buffalo Bisons
MIL2,Milwaukee Grays
IND1,Indianapolis Blues
PRO1,Providence Grays
BRO4,Brooklyn Hartfords
BRO4,Hartford Dark Blues
NYM3,New York Mutuals
LOU2,Louisville Grays
STL4,St. Louis Brown Stockings
